Entry,Seed_Color_Rep1_CU,Seed_Color_Rep2_CU,Seed_Color_Rep1_FL,Seed_Color_Rep2_FL,Plant_Color_Rep1_CU,Plant_Color_Rep2_CU,Plant_Color_Rep1_FL,Plant_Colo_Rep2FL,AWN_Rep1_CU,AWN_Rep2CU,AWN_Rep1FL,AWN_Rep2FL
MB0964,R,R,R,R,P,P,P,P,A,A,A,A
MB0965,W,W,W,W,P,NA,P,P,A,A,A,A
MB0966,W,W,W,W,P,P,P,P,A,A,A,A
MB0967,W,W,W,W,P,P,P,P,A,A,A,A
MB0968,R,R,R,R,P,P,P,P,A,A,A,A
MB0969,R,R,R,R,P,P,P,P,A,A,A,A
MB0970,R,R,R,R,P,P,P,P,A,A,A,A
MB0971,R,R,R,R,P,P,P,P,A,A,A,A
MB0973,W,W,W,W,P,P,P,P,A,A,A,A
MB0974,R,R,R,R,P,P,P,P,A,A,A,A
MB0977,NA,R,R,NA,P,P,P,P,NA,A,A,A
MB0978,W,W,W,W,P,P,P,P,A,NA,A,A
MB0979,R,R,R,R,P,P,P,P,A,A,A,A
MB0980,R,R,R,R,P,P,P,P,A,A,A,A
MB0982,R,R,R,R,P,P,P,P,A,A,A,A
MB0983,W,W,W,W,P,P,P,P,A,A,A,A
MB0984,R,R,R,R,P,P,P,P,A,A,A,A
MB0986,W,W,W,W,P,P,P,P,A,A,A,A
MB0987,W,W,W,W,P,P,P,P,A,A,A,A
MB0992,R,R,R,R,P,P,P,P,A,A,A,A
MB0993,R,R,R,R,P,NA,P,P,A,A,A,A
MB0994,R,R,R,R,P,P,P,P,A,A,A,A
MB0995,R,R,R,R,P,P,P,P,A,A,A,A
MB0996,R,R,R,R,P,P,P,P,A,A,A,A
MB0997,NA,NA,R,R,NA,NA,P,P,NA,NA,A,A
MB1000,R,R,R,R,P,P,P,P,A,A,A,A
MB1001,R,R,R,R,P,P,P,P,A,A,A,A
MB1002,W,W,W,W,P,P,P,P,A,A,A,A
MB1003,W,W,W,W,P,P,P,P,A,A,A,A
MB1004,R,R,R,R,P,P,P,P,A,A,A,A
MB1005,R,R,R,R,P,P,P,P,A,A,A,A
MB1006,W,W,W,W,P,P,P,P,A,A,A,A
MB1007,NA,W,W,W,NA,P,P,P,NA,A,A,A
MB1008,W,W,W,W,P,P,P,NA,A,A,A,A
MB1009,NA,W,W,W,NA,P,P,P,NA,A,A,A
SC0605,R,R,R,R,P,P,P,P,A,A,A,A
SC0630,R,R,R,R,P,P,P,P,N,N,N,N
BTx642,Y,Y,Y,Y,P,P,P,P,A,A,A,A
BTxARG-1,W,W,W,W,T,T,T,T,N,N,N,N
